,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,DISK SIZE,Price
336,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
337,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
338,DELL,Windows,DDR5,16,Intel,Others,1,,512,111990.0
339,Lenovo,Windows,DDR4,16,Intel,Others,1,15.6,512,68490.0
340,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
341,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
342,Infinix,Windows,Others,16,Intel,Others,1,,512,46990.0
343,ASUS,Windows,DDR4,8,Intel,Others,2,14.0,1024,83990.0
344,acer,Windows,DDR4,8,Intel,Others,1,15.6,512,54990.0
345,ASUS,Others,Others,4,Intel,Others,1,14.0,128,14990.0
346,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
347,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
348,APPLE,Mac,DDR4,8,Others,Others,1,14.0,1024,149990.0
349,DELL,Windows,DDR4,8,Intel,NVIDIA,1,,512,63090.0
350,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
351,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
352,MSI,Windows,DDR5,16,Intel,Others,2,15.6,1024,200000.0
353,Lenovo,Windows,DDR4,8,Intel,Others,1,,256,37390.0
354,ASUS,Windows,Others,8,Intel,Others,1,14.0,512,63990.0
355,DELL,Windows,DDR4,4,Intel,Others,1,,512,43090.0
356,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
357,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
358,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,256,44700.0
359,HP,Windows,DDR4,8,Intel,Others,1,14.0,256,41150.0
360,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
361,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
362,ASUS,Windows,DDR4,8,AMD,AMD,1,15.6,256,33990.0
363,MSI,Windows,DDR5,16,Intel,Others,2,,1024,190890.0
364,ASUS,Windows,Others,16,Intel,Others,1,,1024,174990.0
365,HP,Windows,DDR4,16,AMD,Others,1,15.6,1024,118990.0
366,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
